1000 45
1470 100 617
1471 190 235
1472 89 1477
1473 51 1674
1474 180 2612
1475 194 1233
1476 116 322
1477 142 1018
1478 39 2126
1479 176 2492
1480 66 1973
1481 139 1117
1482 85 2679
1483 82 2451
1484 78 73
1485 39 2545
1486 82 2444
1487 44 2866
1488 41 2614
1489 171 1236
1490 185 629
1491 180 1580
1492 126 2601
1493 46 1045
1494 38 165
1495 200 351
1496 90 1579
1497 115 102
1498 41 2548
1499 97 406
1500 133 2071
1501 175 662
1502 67 82
1503 87 2787
1504 127 2769
1505 142 2624
1506 37 1193
1507 139 2051
1508 169 1152
1509 95 2871
1510 109 1334
1511 125 1158
1512 96 2392
1513 187 1872
1514 75 1867
1515 70 2263
1516 122 2932
1517 60 2804
1518 101 1506
1519 174 411
1520 107 963
1521 66 2023
1522 163 1589
1523 185 2947
1524 92 1871
1525 177 1760
1526 149 742
1527 37 820
1528 181 2232
1529 84 127
1530 34 2673
1531 166 2387
1532 36 369
1533 110 672
1534 75 2131
1535 66 501
1536 125 1820
1537 139 2599
1538 152 948
1539 82 851
1540 66 66
1541 195 726
1542 199 231
1543 162 1995
1544 158 1589
1545 162 912
1546 37 1863
1547 50 1920
1548 191 192
1549 151 1457
1550 146 1376
1551 149 119
1552 163 1480
1553 197 1306
1554 75 2966
1555 133 2948
1556 176 2119
1557 170 1894
1558 149 2571
1559 105 2163
1560 103 10
1561 138 475
1562 56 723
1563 90 1454
1564 50 2336
1565 151 588
1566 95 1867
1567 106 1610
1568 50 1126
1569 147 828
1570 44 2423
1571 144 1827
1572 197 2153
1573 120 1594
1574 59 1960
1575 116 585
1576 65 1533
1577 115 1192
1578 31 804
1579 182 521
1580 147 260
1581 92 1553
1582 158 2517
1583 138 528
1584 138 429
1585 35 2437
1586 91 2834
1587 39 2448
1588 194 2687
1589 97 1060
1590 134 2500
1591 52 967
1592 168 406
1593 198 638
1594 73 2507
1595 94 2051
1596 62 321
1597 100 2596
1598 85 1117
1599 67 1183
1600 161 1829
1601 43 2452
1602 159 2586
1603 67 1000
1604 168 2939
1605 132 917
1606 78 1407
1607 27 1173
1608 165 1745
1609 146 373
1610 67 1024
1611 160 1721
1612 128 379
1613 100 1885
1614 199 1790
1615 75 1096
1616 146 1037
1617 139 2632
1618 126 2445
1619 184 245
1620 183 395
1621 122 2524
1622 137 748
1623 144 965
1624 124 209
1625 130 1095
1626 56 1113
1627 135 2576
1628 75 1834
1629 36 689
1630 103 1878
1631 96 1592
1632 106 2682
1633 144 1240
1634 78 2559
1635 52 1860
1636 169 2997
1637 159 2105
1638 137 2782
1639 134 588
1640 119 2111
1641 90 1222
1642 191 2200
1643 173 2417
1644 161 2960
1645 177 2359
1646 197 2241
1647 39 2455
1648 98 2878
1649 62 1400
1650 36 2529
1651 75 2388
1652 166 2346
1653 36 974
1654 175 1913
1655 137 2469
1656 135 947
1657 107 1949
1658 154 2191
1659 117 1883
1660 191 1822
1661 41 1339
1662 158 2543
1663 41 687
1664 140 1838
1665 182 1855
1666 95 2697
1667 194 1596
1668 130 438
1669 25 1520
1670 38 1481
1671 125 1077
1672 91 2383
1673 137 277
1674 37 1390
1675 199 1075
1676 75 751
1677 142 1976
1678 198 558
1679 62 65
1680 164 1748
1681 40 1114
1682 140 865
1683 45 1189
1684 38 2277
1685 36 1356
1686 109 1400
1687 64 536
1688 30 2808
1689 148 2707
1690 157 322
1691 173 2111
1692 112 194
1693 38 2069
1694 136 1100
1695 174 499
1696 159 1405
1697 84 1994
1698 197 1320
1699 30 923
1700 188 593
1701 78 2056
1702 41 2413
1703 135 126
1704 44 1106
1705 80 1121
1706 91 965
1707 71 203
1708 30 1669
1709 151 2261
1710 88 1756
1711 167 2966
1712 176 1722
1713 71 2781
1714 193 2492
1715 199 1340
1716 44 684
1717 140 2428
1718 120 690
1719 98 19
1720 132 89
1721 67 926
1722 69 1722
1723 64 2915
1724 126 751
1725 79 509
1726 130 2638
1727 162 370
1728 71 2784
1729 30 2104
1730 99 1556
1731 107 2710
1732 31 1190
1733 106 38
1734 160 2747
1735 128 1027
1736 83 1547
1737 40 1592
1738 36 784
1739 178 1009
1740 86 1032
1741 77 1743
1742 77 2342
1743 160 2380
1744 61 2613
1745 115 2103
1746 120 2277
1747 116 1110
1748 171 1653
1749 179 50
1750 127 1907
1751 84 1938
1752 29 731
1753 113 1072
1754 42 2386
1755 104 399
1756 185 948
1757 158 1438
1758 121 1605
1759 177 2765
1760 146 3
1761 91 2737
1762 39 1382
1763 119 449
1764 67 2697
1765 178 2137
1766 131 2277
1767 42 2407
1768 200 1954
1769 102 1873
1770 147 2557
1771 72 1756
1772 200 2117
1773 121 1144
1774 121 1713
1775 28 2290
1776 51 126
1777 59 1345
1778 140 225
1779 178 1894
1780 177 2643
1781 102 1876
1782 144 2456
1783 170 1927
1784 177 1760
1785 111 2748
1786 116 774
1787 119 2524
1788 162 2399
1789 163 611
1790 175 1927
1791 76 177
1792 124 2278
1793 193 1263
1794 190 666
1795 60 127
1796 189 1890
1797 90 2228
1798 185 635
1799 138 105
1800 170 2656
1801 148 1414
1802 70 1706
1803 65 671
1804 144 1955
1805 153 2918
1806 57 1885
1807 182 285
1808 178 2671
1809 83 1720
1810 32 2407
1811 150 996
1812 184 1551
1813 79 2640
1814 73 2432
1815 192 2283
1816 168 2948
1817 168 221
1818 133 1984
1819 107 461
1820 162 2876
1821 58 2171
1822 128 1528
1823 103 977
1824 142 1705
1825 200 1885
1826 31 1893
1827 161 2406
1828 163 1159
1829 157 2980
1830 159 2141
1831 182 382
1832 40 309
1833 26 1092
1834 172 1844
1835 88 933
1836 31 2986
1837 79 1182
1838 89 2909
1839 167 62
1840 182 2206
1841 170 2724
1842 179 2530
1843 66 2245
1844 97 1526
1845 104 1631
1846 98 1837
1847 108 105
1848 49 2965
1849 125 2140
1850 80 804
1851 81 1583
1852 125 527
1853 84 2653
1854 156 2274
1855 146 2753
1856 80 2364
1857 76 282
1858 109 2309
1859 62 285
1860 115 2102
1861 99 2204
1862 42 1982
1863 53 787
1864 154 1209
1865 126 1458
1866 92 702
1867 48 505
1868 181 155
1869 69 2720
1870 85 927
1871 200 1612
1872 58 2299
1873 61 2886
1874 168 2122
1875 187 2794
1876 55 141
1877 85 2865
1878 195 2009
1879 115 1420
1880 65 1280
1881 173 2933
1882 150 268
1883 189 1266
1884 167 1297
1885 193 555
1886 175 808
1887 118 2864
1888 194 2114
1889 38 2417
1890 179 976
1891 170 2810
1892 100 1559
1893 146 942
1894 31 1028
1895 170 1136
1896 27 2590
1897 132 1640
1898 26 2208
1899 145 984
1900 104 1241
1901 146 79
1902 80 1055
1903 150 2506
1904 80 395
1905 98 1754
1906 178 1484
1907 195 190
1908 50 1940
1909 35 1312
1910 63 492
1911 167 2274
1912 186 1218
1913 81 643
1914 145 1522
1915 106 1633
1916 154 515
1917 55 2162
1918 153 2004
1919 147 2440
1920 95 1292
1921 193 1120
1922 39 108
1923 189 520
1924 191 2792
1925 160 2366
1926 67 1982
1927 159 1420
1928 152 607
1929 166 1328
1930 56 1391
1931 184 2594
1932 97 2022
1933 83 1177
1934 146 1125
1935 184 776
1936 112 1809
1937 39 2543
1938 52 908
1939 118 1666
1940 27 2245
1941 135 1685
1942 195 373
1943 49 2130
1944 60 2518
1945 105 811
1946 125 1121
1947 76 165
1948 54 2510
1949 110 1167
1950 26 2309
1951 78 402
1952 133 1189
1953 168 736
1954 160 709
1955 66 498
1956 154 1136
1957 158 1884
1958 197 2638
1959 157 192
1960 124 2173
1961 122 768
1962 189 1758
1963 108 787
1964 59 2977
1965 81 2605
1966 38 1247
1967 38 754
1968 155 653
1969 58 2234
1970 193 1243
1971 139 2018
1972 26 2264
1973 157 1238
1974 30 2617
1975 53 1409
1976 38 2783
1977 40 2434
1978 76 811
1979 172 510
1980 68 2525
1981 34 425
1982 51 471
1983 90 557
1984 91 2667
1985 158 188
1986 85 2872
1987 93 639
1988 55 810
1989 148 1036
1990 138 657
1991 52 2567
1992 79 2675
1993 41 2330
1994 118 2924
1995 167 1977
1996 104 2953
1997 41 922
1998 87 578
1999 62 2602
2000 93 1971
2001 101 1857
2002 90 2697
2003 167 977
2004 82 1371
2005 44 1284
2006 155 2512
2007 34 2817
2008 130 554
2009 90 375
2010 166 2336
2011 183 629
2012 160 2103
2013 63 415
2014 57 380
2015 64 629
2016 95 156
2017 29 1544
2018 60 2332
2019 32 710
2020 150 2236
2021 65 80
2022 51 194
2023 64 1636
2024 52 2745
2025 67 1577
2026 112 1713
2027 125 1720
2028 176 1107
2029 158 1200
2030 127 2853
2031 196 1541
2032 152 2016
2033 108 563
2034 171 2956
2035 56 2400
2036 31 616
2037 87 1993
2038 98 430
2039 140 1909
2040 182 342
2041 69 2254
2042 95 393
2043 29 574
2044 196 810
2045 141 690
2046 110 1304
2047 70 1373
2048 135 2665
2049 111 2018
2050 132 559
2051 153 2866
2052 166 1600
2053 122 2335
2054 93 2838
2055 115 2555
2056 107 2079
2057 32 289
2058 128 484
2059 110 1323
2060 61 2986
2061 108 2658
2062 49 1945
2063 70 2312
2064 169 668
2065 193 1933
2066 114 97
2067 166 104
2068 48 1008
2069 70 1429
2070 189 681
2071 167 2079
2072 183 142
2073 200 2934
2074 73 581
2075 96 2621
2076 87 971
2077 118 2559
2078 83 1363
2079 134 2228
2080 70 550
2081 192 608
2082 135 661
2083 103 46
2084 108 500
2085 138 568
2086 172 2808
2087 119 1643
2088 29 2366
2089 192 1277
2090 154 184
2091 49 864
2092 194 1230
2093 191 1773
2094 56 2644
2095 56 1974
2096 114 2863
2097 189 1192
2098 67 995
2099 133 247
2100 166 63
2101 174 26
2102 166 812
2103 44 523
2104 137 595
2105 111 475
2106 50 752
2107 170 2284
2108 93 2112
2109 48 2277
2110 148 2407
2111 154 2653
2112 165 1534
2113 36 847
2114 160 2432
2115 109 1373
2116 30 2259
2117 78 68
2118 166 417
2119 30 599
